Latitude,Longitude,Altitude,City Population,PM2.5_Label,Air Quality Station Area_Rural,Air Quality Station Area_Suburban,Air Quality Station Area_Urban,Air Quality Station Type_Background,Air Quality Station Type_Industrial,Air Quality Station Type_Traffic,Country_Freq,City_Frequency
51.1961,3.8229,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
50.0957,4.5948,225.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.8149,3.3225,27.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.9454,3.1524,19.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
50.3032,6.0017,490.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.2521,4.4914,8.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.0613,3.7753,6.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.9414,4.4367,12.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.9775,4.8376,55.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.2631,4.2789,8.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
50.9532,3.1212,20.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.3139,4.4039,6.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
50.913,4.5122,15.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
51.092,4.3801,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.254,4.2015,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
51.0163,2.5823,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.7117,5.1032,135.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.1247,3.7395,6.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
50.915,3.3762,14.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
51.2546,3.3625,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
51.2337,5.164,30.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.062135922330097085,0.0
50.9279,5.4706,44.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.062135922330097085,0.0
