Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
Norway,NET_NO014A,NO014A,NO0084A,St.Croix,SPO_NO0084A_6001_1657,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.535,ug/m3,89.78,1,Traffic,Suburban,10.9453,59.2103,5,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NO/SPO_NO0084A_6001_1657.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT90FLO,Floridsdorf,SPO.09.FLO.67351.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,13.209,ug/m3,94.03,1,Background,Urban,16.397,48.2611,164,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.FLO.67351.6001.1.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT9STAD,Stadlau,SPO.09.STAD.64538.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.593,ug/m3,99.68,1,Background,Urban,16.4583,48.2264,159,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.STAD.64538.6001.1.parquet,hour
Belgium,NET-Brussels,Brussels,BETR001,41R001 - MOLENBEEK,SPO-BETR001_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,11.597,ug/m3,92.83,1,Background,Urban,4.3341,50.8497,20,Bruxelles / Brussel                                                             ,BE001C1                                           ,1223364,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR001_06001_100.parquet,hour
Belgium,NET-Flanders,Flanders,BETR702,44R702 - Gent (G.Carlierlaan),SPO-BETR702_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.607,ug/m3,99.81,1,Traffic,Urban,3.735,51.0407,8,Gent                                                                            ,BE003C1                                           ,263687,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR702_06001_100.parquet,hour
Belgium,NET-Flanders,Flanders,BETR805,42R805 - ANTWERPEN,SPO-BETR805_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,13.593,ug/m3,98.52,1,Traffic,Urban,4.4216,51.2082,6,Antwerpen                                                                       ,BE002C1                                           ,530014,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR805_06001_100.parquet,hour
Belgium,NET-Flanders,Flanders,BETR802,42R802 - BORGERHOUT,SPO-BETR802_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,14.448,ug/m3,98.63,1,Traffic,Urban,4.4318,51.2095,6,Antwerpen                                                                       ,BE002C1                                           ,530014,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR802_06001_100.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR09404,Poitiers Centre  Augouard,SPO-FR09404_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.847,ug/m3,96.74,1,Background,Urban,0.3456,46.584,110,Poitiers                                                                        ,FR021C2                                           ,98314,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR09404_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR31013,BILLERE,SPO-FR31013_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,6.033,ug/m3,96.42,1,Background,Urban,-0.3915,43.3108,197,Pau                                                                             ,FR045C2                                           ,110402,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR31013_6001.parquet,hour
France,NET-FR061A,LIG'AIR,FR34014,St Jean,SPO-FR34014_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.033,ug/m3,95.81,1,Background,Urban,1.9663,47.9174,110,Orléans                                                                         ,FR019C1                                           ,208564,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR34014_6001.parquet,hour
France,NET-FR062A,MADININAIR,FR39008,Ville de Schoelcher,SPO-FR39008_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.485,ug/m3,96.48,1,Background,Urban,-61.1008,14.6164,20,Fort-de-France                                                                  ,FR030C1                                           ,100038,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR39008_6001.parquet,hour
France,NET-FR061A,LIG'AIR,FR34024,Joué lès Tours,SPO-FR34024_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.512,ug/m3,98.72,1,Background,Urban,0.6538,47.3441,90,Tours                                                                           ,FR035C2                                           ,242529,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR34024_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR35027,LIMOGES - BERLAND,SPO-FR35027_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.111,ug/m3,83.14,1,Background,Urban,1.2597,45.8422,437,Limoges                                                                         ,FR024C2                                           ,143147,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR35027_6001.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S125,"Bad Ischl, Rettenbachwaldstraße",SPO.04.S125.64342.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.419,ug/m3,99.24,1,Background,Suburban,13.6322,47.7161,460,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S125.64342.6001.1.parquet,hour
Austria,NET.01,Amt der Burgenländischen Landesregierung,AT10001,Eisenstadt Laschoberstraße,SPO.01.0001.65188.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.663,ug/m3,82.77,1,Background,Suburban,16.5262,47.8401,165,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.01.0001.65188.6001.1.parquet,hour
Austria,NET.03,Amt der Niederösterreichischen Landesregierung,AT30407,Groß-Enzersdorf - Glinzendorf,SPO.03.0407.65866.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.32,ug/m3,97.04,1,Background,Rural,16.6363,48.2307,153,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0407.65866.6001.1.parquet,hour
Austria,NET.03,Amt der Niederösterreichischen Landesregierung,AT31413,Wiener Neudorf Hauptstraße,SPO.03.1413.64561.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.618,ug/m3,98.81,1,Background,Suburban,16.329,48.0843,210,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.1413.64561.6001.1.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S217,Enns Kristein - A1 Westautobahn,SPO.04.S217.64558.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.113,ug/m3,90.4,1,Traffic,Rural,14.4369,48.2094,255,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S217.64558.6001.1.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S173,"Steyregg Au, Freizeitpark",SPO.04.S173.65929.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.451,ug/m3,98.55,1,Background,Suburban,14.3665,48.2798,250,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S173.65929.6001.1.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S404,Traun Tischlerstraße,SPO.04.S404.65686.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.983,ug/m3,99.01,1,Background,Suburban,14.2376,48.2253,274,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S404.65686.6001.1.parquet,hour
Netherlands,NET-NL010A,Landelijk Meetnet Luchtkwaliteit,NL00136,Heerlen-Looierstraat,SPO-NL00136_06001_101,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.915,ug/m3,99,1,Traffic,Urban,5.9705,50.888,112,Greater Heerlen                                                                 ,NL010C2                                           ,198168,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00136_06001_101.parquet,hour
Netherlands,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,NL00701,Zaandam-Wagenschotpad,SPO-NL00701_06001_101,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,11.141,ug/m3,98.4,1,Background,Urban,4.8167,52.448,2,Zaanstad                                                                        ,NL502C1                                           ,155885,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00701_06001_101.parquet,hour
Netherlands,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,NL00014,Amsterdam-Vondelpark,SPO-NL00014_06001_101,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.415,ug/m3,98.09,1,Background,Urban,4.8662,52.3597,2,Greater Amsterdam                                                               ,NL002C2                                           ,996915,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00014_06001_101.parquet,hour
Netherlands,NET-NL052A,Meetnet Profincie Noord Holland,NL00551,IJmuiden-Kanaaldijk,SPO-NL00551_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,11.141,ug/m3,98.29,1,Industrial,Urban,4.6018,52.463,10,Greater Haarlem                                                                 ,NL501C2                                           ,280309,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00551_06001_100.parquet,hour
Netherlands,NET-NL010A,Landelijk Meetnet Luchtkwaliteit,NL00741,Nijmegen-Graafseweg,SPO-NL00741_06001_101,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,11.029,ug/m3,98.56,1,Traffic,Urban,5.8578,51.8414,31,Nijmegen                                                                        ,NL013C1                                           ,176731,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00741_06001_101.parquet,hour
Netherlands,NET-NL010A,Landelijk Meetnet Luchtkwaliteit,NL00937,Groningen-Europaweg,SPO-NL00937_06001_101,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.606,ug/m3,97.12,1,Traffic,Urban,6.5789,53.2178,5,Groningen                                                                       ,NL007C1                                           ,231299,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/NL/SPO-NL00937_06001_101.parquet,hour
France,NET-FR065A,QUALITAIR CORSE,FR41017,BASTIA MONTESORO,SPO-FR41017_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.673,ug/m3,92.39,1,Background,Suburban,9.4346,42.6713,15,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR41017_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR31040,MARMANDE,SPO-FR31040_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,6.864,ug/m3,88.08,1,Traffic,Suburban,0.1427,44.5088,17,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR31040_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR31041,MONT DE MARSAN,SPO-FR31041_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,7.604,ug/m3,98.65,1,Traffic,Urban,-0.4914,43.8961,46,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR31041_6001.parquet,hour
